券商中文,分行中文,code1,code2,is_broker_level,fetched_at
合庫,合庫-新竹,1020,0031003000320041,False,2026-04-13T07:41:09.564258+00:00
合庫,合庫-自強,1020,0031003000320043,False,2026-04-13T07:41:09.564258+00:00
合庫,合庫-桃園,1020,0031003000320045,False,2026-04-13T07:41:09.564258+00:00
合庫,合庫-西台中,1020,0031003000320046,False,2026-04-13T07:41:09.564258+00:00
合庫,合庫-三重,1020,0031003000320047,False,2026-04-13T07:41:09.564258+00:00
合庫,合庫-國際證券,1020,0031003000320051,False,2026-04-13T07:41:09.564258+00:00
合庫,合庫證券,1020,1020,True,2026-04-13T07:41:09.564258+00:00
合庫,合庫-台中,1020,1021,False,2026-04-13T07:41:09.564258+00:00
合庫,合庫-台南,1020,1022,False,2026-04-13T07:41:09.564258+00:00
合庫,合庫-高雄,1020,1023,False,2026-04-13T07:41:09.564258+00:00
合庫,合庫-嘉義,1020,1024,False,2026-04-13T07:41:09.564258+00:00
合庫,合庫-基隆,1020,1025,False,2026-04-13T07:41:09.564258+00:00
合庫,合庫-彰化,1020,1028,False,2026-04-13T07:41:09.564258+00:00
合庫,合庫-鳳山,1020,1029,False,2026-04-13T07:41:09.564258+00:00
土銀,土銀-建國,1030,0031003000330041,False,2026-04-13T07:41:09.564258+00:00
土銀,土銀-彰化,1030,0031003000330042,False,2026-04-13T07:41:09.564258+00:00
土銀,土銀-白河,1030,0031003000330043,False,2026-04-13T07:41:09.564258+00:00
土銀,土銀-南港,1030,0031003000330046,False,2026-04-13T07:41:09.564258+00:00
土銀,土銀,1030,1030,True,2026-04-13T07:41:09.564258+00:00
土銀,土銀-台中,1030,1031,False,2026-04-13T07:41:09.564258+00:00
土銀,土銀-台南,1030,1032,False,2026-04-13T07:41:09.564258+00:00
土銀,土銀-高雄,1030,1033,False,2026-04-13T07:41:09.564258+00:00
土銀,土銀-嘉義,1030,1034,False,2026-04-13T07:41:09.564258+00:00
土銀,土銀-新竹,1030,1035,False,2026-04-13T07:41:09.564258+00:00
