券商中文,code1,分行數,fetched_at
合庫,1020,14,2026-04-11T20:44:47.899576+00:00
土銀,1030,14,2026-04-11T20:44:47.899576+00:00
臺銀,1040,8,2026-04-11T20:44:47.899576+00:00
台灣工銀,1090,1,2026-04-11T20:44:47.899576+00:00
台灣企銀,1110,16,2026-04-11T20:44:47.899576+00:00
彰銀,1230,3,2026-04-11T20:44:47.899576+00:00
宏遠,1260,10,2026-04-11T20:44:47.899576+00:00
港商麥格理,1360,1,2026-04-11T20:44:47.899576+00:00
港商蘇皇,1400,1,2026-04-11T20:44:47.899576+00:00
美林,1440,1,2026-04-11T20:44:47.899576+00:00
台灣摩根士丹利,1470,1,2026-04-11T20:44:47.899576+00:00
美商高盛,1480,1,2026-04-11T20:44:47.899576+00:00
瑞士信貸(停),1520,1,2026-04-11T20:44:47.899576+00:00
港商德意志(停),1530,1,2026-04-11T20:44:47.899576+00:00
港商野村,1560,1,2026-04-11T20:44:47.899576+00:00
港商法國興業(停),1570,1,2026-04-11T20:44:47.899576+00:00
花旗環球,1590,1,2026-04-11T20:44:47.899576+00:00
新加坡商瑞銀,1650,1,2026-04-11T20:44:47.899576+00:00
港商聯昌,1660,1,2026-04-11T20:44:47.899576+00:00
亞東,2180,7,2026-04-11T20:44:47.899576+00:00
元大期貨,2200,1,2026-04-11T20:44:47.899576+00:00
群益期貨,2210,1,2026-04-11T20:44:47.899576+00:00
台新銀,3000,1,2026-04-11T20:44:47.899576+00:00
大展,5050,2,2026-04-11T20:44:47.899576+00:00
美好,5260,13,2026-04-11T20:44:47.899576+00:00
高橋,5320,4,2026-04-11T20:44:47.899576+00:00
第一金,5380,24,2026-04-11T20:44:47.899576+00:00
寶盛,5460,1,2026-04-11T20:44:47.899576+00:00
豐銀,5500,1,2026-04-11T20:44:47.899576+00:00
永興,5600,4,2026-04-11T20:44:47.899576+00:00
日進,5660,1,2026-04-11T20:44:47.899576+00:00
豐興,5690,1,2026-04-11T20:44:47.899576+00:00
統一,5850,32,2026-04-11T20:44:47.899576+00:00
盈溢,5860,3,2026-04-11T20:44:47.899576+00:00
日茂,5960,3,2026-04-11T20:44:47.899576+00:00
(牛牛牛)亞證券,6010,3,2026-04-11T20:44:47.899576+00:00
台中銀,6110,5,2026-04-11T20:44:47.899576+00:00
中國信託,6160,11,2026-04-11T20:44:47.899576+00:00
新百王,6210,1,2026-04-11T20:44:47.899576+00:00
光和,6380,7,2026-04-11T20:44:47.899576+00:00
永全,6450,3,2026-04-11T20:44:47.899576+00:00
大昌,6460,6,2026-04-11T20:44:47.899576+00:00
福邦,6480,2,2026-04-11T20:44:47.899576+00:00
口袋證券,6620,1,2026-04-11T20:44:47.899576+00:00
渣打商銀,6640,1,2026-04-11T20:44:47.899576+00:00
和興,6660,1,2026-04-11T20:44:47.899576+00:00
德信,6910,4,2026-04-11T20:44:47.899576+00:00
福勝,6950,1,2026-04-11T20:44:47.899576+00:00
兆豐,7000,44,2026-04-11T20:44:47.899576+00:00
致和,7030,9,2026-04-11T20:44:47.899576+00:00
石橋,7080,1,2026-04-11T20:44:47.899576+00:00
台安,7120,1,2026-04-11T20:44:47.899576+00:00
富順,7530,1,2026-04-11T20:44:47.899576+00:00
金興,7690,1,2026-04-11T20:44:47.899576+00:00
北城,7750,1,2026-04-11T20:44:47.899576+00:00
國票,7790,26,2026-04-11T20:44:47.899576+00:00
豐德,7900,1,2026-04-11T20:44:47.899576+00:00
安泰,8380,3,2026-04-11T20:44:47.899576+00:00
摩根大通,8440,1,2026-04-11T20:44:47.899576+00:00
康和,8450,17,2026-04-11T20:44:47.899576+00:00
京城,8490,2,2026-04-11T20:44:47.899576+00:00
中農,8520,1,2026-04-11T20:44:47.899576+00:00
新光,8560,6,2026-04-11T20:44:47.899576+00:00
聯邦商銀,8580,9,2026-04-11T20:44:47.899576+00:00
萬通(停),8660,1,2026-04-11T20:44:47.899576+00:00
新壽,8690,1,2026-04-11T20:44:47.899576+00:00
花旗,8700,1,2026-04-11T20:44:47.899576+00:00
陽信,8710,5,2026-04-11T20:44:47.899576+00:00
大鼎(停),8770,1,2026-04-11T20:44:47.899576+00:00
玉山,8840,18,2026-04-11T20:44:47.899576+00:00
國泰,8880,16,2026-04-11T20:44:47.899576+00:00
大和國泰,8890,1,2026-04-11T20:44:47.899576+00:00
法銀巴黎,8900,1,2026-04-11T20:44:47.899576+00:00
台灣巴克萊,8910,1,2026-04-11T20:44:47.899576+00:00
香港上海匯豐,8960,1,2026-04-11T20:44:47.899576+00:00
群益金鼎,9100,54,2026-04-11T20:44:47.899576+00:00
凱基,9200,75,2026-04-11T20:44:47.899576+00:00
華南永昌,9300,41,2026-04-11T20:44:47.899576+00:00
富邦,9600,78,2026-04-11T20:44:47.899576+00:00
元大,9800,150,2026-04-11T20:44:47.899576+00:00
永豐金,9A00,51,2026-04-11T20:44:47.899576+00:00
台新,9B00,57,2026-04-11T20:44:47.899576+00:00
